01.08.2009,4:41:59,249,32.6,16
01.08.2009,4:42:00,247,32.7,16
01.08.2009,4:42:01,247,32.7,16
01.08.2009,4:42:02,247,32.6,17
01.08.2009,4:42:03,247,32.7,17
01.08.2009,4:42:04,247,32.7,17
01.08.2009,4:42:05,247,32.7,17
01.08.2009,4:42:06,247,32.7,17
01.08.2009,4:42:07,246,32.7,18
01.08.2009,4:42:08,246,32.7,18
01.08.2009,4:42:09,246,32.7,18
01.08.2009,4:42:10,243,32.7,18
01.08.2009,4:42:11,245,32.7,18
01.08.2009,4:42:12,245,32.7,18
01.08.2009,4:42:13,245,32.7,18
01.08.2009,4:42:14,245,32.6,18
01.08.2009,4:42:15,245,32.7,18
01.08.2009,4:42:16,245,32.7,18
01.08.2009,4:42:17,245,32.7,18
01.08.2009,4:42:18,245,32.7,18
01.08.2009,4:42:19,245,32.8,18
01.08.2009,4:42:20,245,32.7,18
01.08.2009,4:42:21,245,32.7,18
01.08.2009,4:42:22,245,32.7,18
01.08.2009,4:42:23,245,32.8,18
01.08.2009,4:42:24,245,32.7,18
01.08.2009,4:42:25,245,32.8,18
01.08.2009,4:42:26,245,32.8,18
01.08.2009,4:42:27,245,32.8,18
01.08.2009,4:42:28,245,32.8,18
01.08.2009,4:42:29,245,32.8,18
01.08.2009,4:42:30,245,32.8,18
01.08.2009,4:42:31,245,32.8,18
01.08.2009,4:42:32,245,32.7,18
01.08.2009,4:42:33,245,32.8,18
01.08.2009,4:42:34,246,32.7,18
01.08.2009,4:42:35,245,32.7,18
01.08.2009,4:42:36,245,32.8,18
01.08.2009,4:42:37,245,32.7,18
01.08.2009,4:42:38,245,32.7,18
01.08.2009,4:42:39,245,32.8,18
01.08.2009,4:42:40,246,32.7,18
01.08.2009,4:42:41,245,32.8,18
01.08.2009,4:42:42,245,32.7,18
01.08.2009,4:42:43,245,32.8,18
01.08.2009,4:42:44,245,32.8,18
01.08.2009,4:42:45,245,32.9,19
01.08.2009,4:42:46,245,32.8,19
01.08.2009,4:42:47,245,32.8,19
01.08.2009,4:42:48,245,32.8,19
01.08.2009,4:42:49,245,32.9,19
01.08.2009,4:42:50,245,32.8,19
01.08.2009,4:42:51,245,32.8,19
01.08.2009,4:42:52,245,32.9,19
01.08.2009,4:42:53,245,32.8,19
01.08.2009,4:42:54,245,32.9,18
01.08.2009,4:42:55,245,32.9,18
01.08.2009,4:42:56,245,32.9,19
